A Purga: Anarquia,6.4,{SYFY\,"SYFY HD"},23-11-2019 18:09
Assalto ao Metro 123,6.4,{AXN\,"AXN HD"},24-11-2019 00:01 26-11-2019 15:31
Burlesque,6.4,{EUROCHANNEL\,"EUROCHANNEL HD"},24-11-2019 03:30 24-11-2019 06:50 24-11-2019 20:45 25-11-2019 14:40 28-11-2019 15:30 29-11-2019 06:30 29-11-2019 22:50
Burlesque,6.4,{"TVC 3"\,"TVC 3 HD"},24-11-2019 22:30 27-11-2019 06:50
Cabaret Maxime,6.4,{"TVC 1"},28-11-2019 01:05
Cabaret Maxime,6.4,{"TVC 2"},28-11-2019 18:00
Chovem Almôndegas 2,6.4,{"AXN WHITE"\,"AXN WHITE HD"},24-11-2019 22:00 26-11-2019 15:55 30-11-2019 00:01
Engana-me Que Eu Gosto,6.4,{AXN\,"AXN HD"},23-11-2019 21:55 25-11-2019 15:22
Estado de Sítio,6.4,{"HOLLYWOOD "\,"HOLLYWOOD HD"},28-11-2019 15:35
Golpe de Vingança,6.4,{"FOX MOVIES"\,"FOX MOVIES HD"},24-11-2019 00:22
Horas,6.4,{"HOLLYWOOD "\,"HOLLYWOOD HD"},24-11-2019 02:40
Manon Lescaut,6.4,{EUROCHANNEL\,"EUROCHANNEL HD"},24-11-2019 00:25 24-11-2019 18:05 29-11-2019 07:55
Moulin Rouge,6.4,{"HOLLYWOOD "\,"HOLLYWOOD HD"},25-11-2019 09:15
O Ditador,6.4,{"AXN WHITE"\,"AXN WHITE HD"},23-11-2019 19:06
O Fugitivo,6.4,{EUROCHANNEL\,"EUROCHANNEL HD"},28-11-2019 22:35 30-11-2019 16:10
O Último Beijo,6.4,{"FOX MOVIES"\,"FOX MOVIES HD"},26-11-2019 06:58 28-11-2019 07:32 29-11-2019 09:01
Partner,6.4,{"ZEE CINEMA"},29-11-2019 14:00
Punisher - O Vingador,6.4,{"AXN BLACK"\,"AXN BLACK HD"},23-11-2019 19:12 25-11-2019 08:52 28-11-2019 02:02 30-11-2019 02:59
Riddick - A Ascensão,6.4,{"AXN BLACK"\,"AXN BLACK HD"},24-11-2019 12:13 27-11-2019 04:53 28-11-2019 16:13
Salt,6.4,{AXN\,"AXN HD"},24-11-2019 03:34
Space Cowboys,6.4,{"TVC 3"\,"TVC 3 HD"},29-11-2019 03:30 29-11-2019 13:45
Uma Boa Dose de Sexo,6.4,{"FOX LIFE"\,"FOX LIFE HD"},24-11-2019 22:30 28-11-2019 22:30
Uma Morte Necessária,6.4,{"FOX MOVIES"\,"FOX MOVIES HD"},26-11-2019 04:19
A Armadilha,6.3,{CINEMUNDO\,"CINEMUNDO HD"},24-11-2019 18:00
A Casa da Magia,6.3,{"HOLLYWOOD "\,"HOLLYWOOD HD"},24-11-2019 09:15
À Mão Armada,6.3,{"TVC 1"},29-11-2019 03:25
Desafio Total,6.3,{"FOX MOVIES"\,"FOX MOVIES HD"},25-11-2019 03:49
Dia e Noite,6.3,{AXN\,"AXN HD"},24-11-2019 14:38 30-11-2019 02:27
Ela é... Ele,6.3,{"FOX LIFE"\,"FOX LIFE HD"},24-11-2019 18:10 27-11-2019 23:13
... E o Sol Também Brilha,6.3,{"TVC 2"},27-11-2019 11:00
Fim-de-Semana em Paris,6.3,{"FOX MOVIES"\,"FOX MOVIES HD"},24-11-2019 06:14 25-11-2019 09:41
Fogo Rápido,6.3,{"FOX MOVIES"\,"FOX MOVIES HD"},23-11-2019 19:39
Irmãos de Sangue,6.3,{EUROCHANNEL\,"EUROCHANNEL HD"},27-11-2019 15:45 29-11-2019 21:15 30-11-2019 13:05
O Livro de Imagem,6.3,{"TVC 2"},25-11-2019 23:45 26-11-2019 09:45
Os Estagiários,6.3,{"AXN WHITE"\,"AXN WHITE HD"},24-11-2019 01:17
Pago para Esquecer,6.3,{AMC\,"AMC HD"},24-11-2019 00:22 25-11-2019 20:10
Resident Evil 3: Extinção,6.3,{AXN\,"AXN HD"},27-11-2019 22:57 30-11-2019 06:07
Robôs,6.3,{"HOLLYWOOD "\,"HOLLYWOOD HD"},30-11-2019 08:40
Sedutora Tentação,6.3,{"FOX MOVIES"\,"FOX MOVIES HD"},25-11-2019 07:38 26-11-2019 10:30 28-11-2019 06:07
Sobre Rodas,6.3,{"AXN WHITE"\,"AXN WHITE HD"},29-11-2019 22:10
Terapia a Dois,6.3,{"FOX LIFE"\,"FOX LIFE HD"},23-11-2019 20:25
Uma Criança Desapareceu,6.3,{"TVC 3"\,"TVC 3 HD"},24-11-2019 03:35 25-11-2019 20:35
Uns Compadres do Pior,6.3,{"AXN BLACK"\,"AXN BLACK HD"},25-11-2019 21:14 27-11-2019 13:10 30-11-2019 04:58
Vendeta,6.3,{"TVC 1"},28-11-2019 03:55
Vendeta,6.3,{"TVC 4"\,"TVC 4 HD"},29-11-2019 00:35
300: O Início de Um Império,6.2,{FOX\,"FOX HD"},24-11-2019 02:22 26-11-2019 00:36
360,6.2,{"RTP 3"},23-11-2019 21:00 24-11-2019 21:00 25-11-2019 21:00 26-11-2019 21:00 27-11-2019 20:30 28-11-2019 21:00 29-11-2019 21:00
Aguenta-te aos 40!,6.2,{"FOX MOVIES"\,"FOX MOVIES HD"},25-11-2019 17:23 26-11-2019 19:04 27-11-2019 14:21
Alta Golpada,6.2,{"HOLLYWOOD "\,"HOLLYWOOD HD"},26-11-2019 19:45 28-11-2019 06:50
A Testemunha,6.2,{AMC\,"AMC HD"},23-11-2019 18:21
Cidade Dividida,6.2,{"HOLLYWOOD "\,"HOLLYWOOD HD"},25-11-2019 11:20
Circuito Fechado,6.2,{EUROCHANNEL\,"EUROCHANNEL HD"},23-11-2019 21:15 28-11-2019 05:00
Doutor Sarilhos,6.2,{CINEMUNDO\,"CINEMUNDO HD"},26-11-2019 21:10 28-11-2019 14:25
Feliz Dia Para Morrer 2,6.2,{"TVC 1"},24-11-2019 21:30 25-11-2019 12:25
Impacto Profundo,6.2,{AMC\,"AMC HD"},30-11-2019 00:01
Loucos em Alabama,6.2,{"AXN BLACK"\,"AXN BLACK HD"},30-11-2019 17:45
Manteiga,6.2,{"HOLLYWOOD "\,"HOLLYWOOD HD"},28-11-2019 10:20
Miss Detective,6.2,{SIC},23-11-2019 17:45
O Santo,6.2,{"TVC 4"\,"TVC 4 HD"},24-11-2019 05:30
Perseguição Sem Tréguas,6.2,{"FOX MOVIES"\,"FOX MOVIES HD"},24-11-2019 01:58 26-11-2019 01:19
Porky's,6.2,{AMC\,"AMC HD"},24-11-2019 14:11 27-11-2019 17:22 29-11-2019 15:33
Porquê Ele?,6.2,{"FOX MOVIES"\,"FOX MOVIES HD"},27-11-2019 16:30
Sinais do Futuro,6.2,{CINEMUNDO\,"CINEMUNDO HD"},24-11-2019 14:20 27-11-2019 10:50
Sombras da Escuridão,6.2,{"TVC 3"\,"TVC 3 HD"},29-11-2019 23:55 30-11-2019 12:00
Tal Pai\, Tal Mãe 2,6.2,{CINEMUNDO\,"CINEMUNDO HD"},26-11-2019 07:55
A Armadilha,6.1,{CINEMUNDO\,"CINEMUNDO HD"},24-11-2019 18:00
A Branca de Neve e o Caçador,6.1,{FOX\,"FOX HD"},23-11-2019 17:54 24-11-2019 12:09
A Experiência Belko,6.1,{"HOLLYWOOD "\,"HOLLYWOOD HD"},28-11-2019 00:55
Anon,6.1,{"TVC 4"\,"TVC 4 HD"},25-11-2019 02:25 25-11-2019 14:45
A Troca,6.1,{"TVC 3"\,"TVC 3 HD"},25-11-2019 13:30 26-11-2019 06:35
Códigos de Guerra,6.1,{"TVC 4"\,"TVC 4 HD"},23-11-2019 23:00 24-11-2019 12:15
Como Ser Solteira,6.1,{"HOLLYWOOD "\,"HOLLYWOOD HD"},29-11-2019 21:30
Companheiros de Copos,6.1,{"AXN BLACK"\,"AXN BLACK HD"},28-11-2019 18:09 30-11-2019 09:38
Da Rússia com Amor,6.1,{AMC\,"AMC HD"},25-11-2019 23:49
Edtv,6.1,{"RTP MEMÓRIA"},24-11-2019 15:00
Em Nome de Caim,6.1,{CINEMUNDO\,"CINEMUNDO HD"},26-11-2019 09:30 27-11-2019 05:25
Jumper,6.1,{AXN\,"AXN HD"},24-11-2019 21:55 28-11-2019 00:36
O Caçador e a Rainha do Gelo,6.1,{FOX\,"FOX HD"},23-11-2019 20:21 24-11-2019 14:29
Os Condenados,6.1,{CINEMUNDO\,"CINEMUNDO HD"},24-11-2019 02:10
Pela Estrada Fora,6.1,{"HOLLYWOOD "\,"HOLLYWOOD HD"},29-11-2019 02:05
Romeo Deve Morrer,6.1,{"FOX MOVIES"\,"FOX MOVIES HD"},25-11-2019 00:29
The Monuments Men - Os Caçadores de Tesouros,6.1,{"HOLLYWOOD "\,"HOLLYWOOD HD"},24-11-2019 22:00 30-11-2019 16:40
Um Adeus Português,6.1,{"TVC 2"},23-11-2019 22:00
Um Polícia no Jardim-Escola,6.1,{AMC\,"AMC HD"},27-11-2019 15:32 29-11-2019 20:19
Voo da Fénix,6.1,{"HOLLYWOOD "\,"HOLLYWOOD HD"},25-11-2019 18:15
24 Horas,6,{"RTP 3"},26-11-2019 05:00
24 Horas,6,{"RTP 3"\,"RTP ÁFRICA"},24-11-2019 00:00 25-11-2019 00:00 26-11-2019 00:00 27-11-2019 00:00 28-11-2019 00:00 29-11-2019 00:00 30-11-2019 00:00
À Noite\, no Museu 2,6,{AXN\,"AXN HD"},25-11-2019 23:44 28-11-2019 04:42
Aparição,6,{"TVC 2"},24-11-2019 10:55
A Purga: Ano de Eleições,6,{SYFY\,"SYFY HD"},23-11-2019 19:46
Com_Paixão,6,{"TVC 1"},26-11-2019 08:20
Com_Paixão,6,{"TVC 3"\,"TVC 3 HD"},26-11-2019 22:30
Condomínio,6,{CINEMUNDO\,"CINEMUNDO HD"},29-11-2019 02:05
Cowboys e Aliens,6,{AMC\,"AMC HD"},23-11-2019 20:11
Mulheres Procuram-se Para Ir a Casamento,6,{"FOX COMEDY"\,"FOX COMEDY HD"},29-11-2019 23:51 30-11-2019 17:06
O Cavaleiro Negro,6,{CINEMUNDO\,"CINEMUNDO HD"},25-11-2019 17:30
Os Condenados,6,{CINEMUNDO\,"CINEMUNDO HD"},24-11-2019 02:10
Patologia,6,{"TVC 4"\,"TVC 4 HD"},24-11-2019 23:00 25-11-2019 09:35
Sedução,6,{EUROCHANNEL\,"EUROCHANNEL HD"},25-11-2019 08:10 27-11-2019 22:15 28-11-2019 12:20 30-11-2019 05:00
A Família Addams,5.9,{AMC\,"AMC HD"},24-11-2019 18:58 25-11-2019 16:19
A Febre Ferrante,5.9,{"TVC 2"},29-11-2019 01:40 29-11-2019 11:40
A Invasão,5.9,{"TVC 4"\,"TVC 4 HD"},29-11-2019 12:50 30-11-2019 10:00
A Lenda de Zorro,5.9,{"TVC 4"\,"TVC 4 HD"},25-11-2019 23:00 26-11-2019 08:15
A Melodia do Adeus,5.9,{"HOLLYWOOD "\,"HOLLYWOOD HD"},27-11-2019 12:50
Aparição,5.9,{"TVC 2"},24-11-2019 10:55
Desalinhado,5.9,{"RTP 2"},24-11-2019 13:37 30-11-2019 13:29
Jantar de Idiotas,5.9,{"AXN WHITE"\,"AXN WHITE HD"},25-11-2019 22:11 29-11-2019 13:58
Limite Vertical,5.9,{"AXN BLACK"\,"AXN BLACK HD"},24-11-2019 15:49
Miúdos e Graúdos,5.9,{"AXN BLACK"\,"AXN BLACK HD"},26-11-2019 04:06 27-11-2019 16:42
Nómada,5.9,{"HOLLYWOOD "\,"HOLLYWOOD HD"},25-11-2019 16:15
O Adeus às Armas,5.9,{"TVC 2"},25-11-2019 04:25 25-11-2019 19:25
O Pequeno Stuart Little,5.9,{CMTV},25-11-2019 02:30
Para Sempre,5.9,{"TVC 2"},29-11-2019 18:15 30-11-2019 08:30
Paz\, Amor e Outras Confusões,5.9,{"HOLLYWOOD "\,"HOLLYWOOD HD"},27-11-2019 11:15 29-11-2019 07:50
Percy Jackson e os Ladrões do Olimpo,5.9,{SYFY\,"SYFY HD"},26-11-2019 17:20
Polícias em Grandes Apuros,5.9,{"FOX MOVIES"\,"FOX MOVIES HD"},26-11-2019 17:27
Punisher - Zona de Guerra,5.9,{"AXN BLACK"\,"AXN BLACK HD"},24-11-2019 17:48 29-11-2019 00:27
Ricki e os Flash,5.9,{SIC},24-11-2019 01:55
Toro,5.9,{CINEMUNDO\,"CINEMUNDO HD"},30-11-2019 02:10
Violadores: A Invasão Continua,5.9,{"TVC 4"\,"TVC 4 HD"},28-11-2019 02:35 28-11-2019 13:20
2012,5.8,{AXN\,"AXN HD"},23-11-2019 19:15
A Armadilha,5.8,{CINEMUNDO\,"CINEMUNDO HD"},24-11-2019 18:00
A Gaivota,5.8,{"TVC 1"},30-11-2019 04:05
Amigos com Dinheiro,5.8,{"AXN BLACK"\,"AXN BLACK HD"},27-11-2019 21:14 29-11-2019 12:18
A Minha Canção de Amor,5.8,{"HOLLYWOOD "\,"HOLLYWOOD HD"},27-11-2019 21:30
A Ressaca - Parte III,5.8,{"TVC 4"\,"TVC 4 HD"},28-11-2019 21:15 29-11-2019 09:20
Duro de Roer,5.8,{"FOX MOVIES"\,"FOX MOVIES HD"},23-11-2019 22:43 25-11-2019 02:19 29-11-2019 03:18
Golpe de Amor,5.8,{"AXN WHITE"\,"AXN WHITE HD"},25-11-2019 02:59 26-11-2019 14:24 28-11-2019 00:09
Kin - Arma Letal,5.8,{"TVC 1"},24-11-2019 11:45 25-11-2019 02:45
Liga de Cavalheiros Extraordinários,5.8,{SYFY\,"SYFY HD"},28-11-2019 22:15
Milla,5.8,{"TVC 2"},24-11-2019 22:00
Mr. Deeds,5.8,{"AXN BLACK"\,"AXN BLACK HD"},28-11-2019 19:40 30-11-2019 11:07
Nascer para Morrer,5.8,{AXN\,"AXN HD"},25-11-2019 01:37
Na Sombra de um Rapto,5.8,{"HOLLYWOOD "\,"HOLLYWOOD HD"},27-11-2019 16:25 29-11-2019 06:20
Pasolini,5.8,{CINEMUNDO\,"CINEMUNDO HD"},25-11-2019 03:45
Rambo III,5.8,{"FOX MOVIES"\,"FOX MOVIES HD"},28-11-2019 03:36 30-11-2019 03:52
Tubarão 2,5.8,{AMC\,"AMC HD"},28-11-2019 23:44
Agora Estamos Sozinhos,5.7,{"TVC 1"},25-11-2019 23:50 26-11-2019 16:15
A Jurada,5.7,{"AXN BLACK"\,"AXN BLACK HD"},24-11-2019 10:17 27-11-2019 02:58 29-11-2019 07:30
Antes que a Morte os Separe!,5.7,{CINEMUNDO\,"CINEMUNDO HD"},24-11-2019 12:40
Arthur,5.7,{SIC},25-11-2019 02:00
Fúria de Titãs,5.7,{CINEMUNDO\,"CINEMUNDO HD"},24-11-2019 11:00
Invasão Mundial: Batalha Los Angeles,5.7,{AXN\,"AXN HD"},24-11-2019 23:35 27-11-2019 15:12
O Gangue do Parque,5.7,{"HOLLYWOOD "\,"HOLLYWOOD HD"},30-11-2019 07:10
Padre,5.7,{SYFY\,"SYFY HD"},23-11-2019 21:30 25-11-2019 17:50 30-11-2019 15:36
Pássaros Amarelos,5.7,{"TVC 1"},29-11-2019 00:05 29-11-2019 16:00
Perseguição Diabólica,5.7,{"AXN BLACK"\,"AXN BLACK HD"},24-11-2019 19:27 26-11-2019 11:16 29-11-2019 02:05
Por Linhas Tortas,5.7,{"TVC 3"\,"TVC 3 HD"},24-11-2019 02:00 25-11-2019 19:05
Tiger Girl - A Rebelde,5.7,{"TVC 4"\,"TVC 4 HD"},27-11-2019 03:45 27-11-2019 21:25
A Fórmula,5.6,{"GLOBO NOW HD"},24-11-2019 11:35
A Mulher da Casa,5.6,{"HOLLYWOOD "\,"HOLLYWOOD HD"},27-11-2019 09:30
Bairro,5.6,{"HOLLYWOOD "\,"HOLLYWOOD HD"},28-11-2019 08:30
Força Delta,5.6,{"FOX MOVIES"\,"FOX MOVIES HD"},25-11-2019 23:07 28-11-2019 01:33
Jogo de Risco,5.6,{AXN\,"AXN HD"},30-11-2019 15:05
O Especialista,5.6,{CINEMUNDO\,"CINEMUNDO HD"},29-11-2019 00:15
Professora Baldas,5.6,{"AXN BLACK"\,"AXN BLACK HD"},26-11-2019 05:44
Quarteto Fantástico e o Surfista Prateado,5.6,{SYFY\,"SYFY HD"},25-11-2019 16:23
Tudo em Família,5.6,{"TVC 3"\,"TVC 3 HD"},29-11-2019 22:30 30-11-2019 10:35
A Vida Por Um Fio,5.5,{"RTP AÇORES"},26-11-2019 00:00 26-11-2019 07:55
Código Momentum,5.5,{AXN\,"AXN HD"},30-11-2019 16:42
Danos Colaterais,5.5,{"FOX MOVIES"\,"FOX MOVIES HD"},24-11-2019 14:31
Desprotegido,5.5,{SYFY\,"SYFY HD"},23-11-2019 22:50
Furacão no Asfalto,5.5,{"FOX MOVIES"\,"FOX MOVIES HD"},27-11-2019 19:44 29-11-2019 18:10
O Homem Modelo,5.5,{"TVC 2"},29-11-2019 22:00 30-11-2019 10:15
Pai Infernal,5.5,{"AXN BLACK"\,"AXN BLACK HD"},25-11-2019 17:37 27-11-2019 09:34 30-11-2019 01:10
Saqueadores,5.5,{CINEMUNDO\,"CINEMUNDO HD"},24-11-2019 05:45
Terapia Para Casais,5.5,{AMC\,"AMC HD"},28-11-2019 00:44
Todos ao Monte,5.5,{"AXN WHITE"\,"AXN WHITE HD"},27-11-2019 15:55
Wildling - A Última Criatura,5.5,{"TVC 4"\,"TVC 4 HD"},24-11-2019 07:30
A Chefe,5.4,{"FOX COMEDY"\,"FOX COMEDY HD"},24-11-2019 03:38 25-11-2019 02:49
A Legião dos Duros,5.4,{CINEMUNDO\,"CINEMUNDO HD"},28-11-2019 21:00
Amanhecer Violento,5.4,{"FOX MOVIES"\,"FOX MOVIES HD"},29-11-2019 21:15
Arac Attack - Tarados de Oito Patas,5.4,{CINEMUNDO\,"CINEMUNDO HD"},26-11-2019 19:30 28-11-2019 10:25
Barely Lethal - Missão Adolescência,5.4,{CINEMUNDO\,"CINEMUNDO HD"},24-11-2019 07:35
Época das Bruxas,5.4,{SYFY\,"SYFY HD"},24-11-2019 20:02
Forças da Natureza,5.4,{"TVC 3"\,"TVC 3 HD"},28-11-2019 03:50 28-11-2019 17:30
K.O.,5.4,{CINEMUNDO\,"CINEMUNDO HD"},26-11-2019 11:10
O Fim da Inocência,5.4,{"TVC 4"\,"TVC 4 HD"},28-11-2019 17:55
O Homem dos Punhos de Ferro,5.4,{TVI},23-11-2019 23:25
Piranha 3D,5.4,{"HOLLYWOOD "\,"HOLLYWOOD HD"},25-11-2019 00:00
Submersos,5.4,{CINEMUNDO\,"CINEMUNDO HD"},27-11-2019 12:50
The Ring 2 - O Aviso,5.4,{"HOLLYWOOD "\,"HOLLYWOOD HD"},26-11-2019 00:40
A Rainha dos Malditos,5.3,{"TVC 4"\,"TVC 4 HD"},26-11-2019 02:55 26-11-2019 15:25
O Cavaleiro Negro,5.3,{CINEMUNDO\,"CINEMUNDO HD"},25-11-2019 17:30
O Dilema,5.3,{"TVC 3"\,"TVC 3 HD"},27-11-2019 18:50 28-11-2019 09:00
O Novo Namorado da Minha Mãe,5.3,{"FOX MOVIES"\,"FOX MOVIES HD"},26-11-2019 14:16 27-11-2019 09:30 30-11-2019 10:46
O Pacto,5.3,{SYFY\,"SYFY HD"},26-11-2019 15:47
The Nun - A Freira Maldita,5.3,{"TVC 1"},24-11-2019 23:15 25-11-2019 14:10
A Coisa Mais Doce,5.2,{"AXN BLACK"\,"AXN BLACK HD"},27-11-2019 18:20 29-11-2019 09:24
Alpha & Omega,5.2,{"SIC K"},24-11-2019 20:15
Crepúsculo,5.2,{"FOX LIFE"\,"FOX LIFE HD"},29-11-2019 22:20 30-11-2019 17:46
Ghost Rider,5.2,{"AXN BLACK"\,"AXN BLACK HD"},25-11-2019 07:11 28-11-2019 00:17
Manon Lescaut,5.2,{EUROCHANNEL\,"EUROCHANNEL HD"},24-11-2019 00:25 24-11-2019 18:05 29-11-2019 07:55
Réplica Violenta,5.2,{CINEMUNDO\,"CINEMUNDO HD"},28-11-2019 01:00
Trinca-me Aqui,5.2,{"TVC 4"\,"TVC 4 HD"},29-11-2019 16:15 30-11-2019 03:45
Ashram,5.1,{"TVC 2"},24-11-2019 18:40 25-11-2019 07:00
Corrupção Total,5.1,{"FOX MOVIES"\,"FOX MOVIES HD"},28-11-2019 17:57
Força-G,5.1,{"HOLLYWOOD "\,"HOLLYWOOD HD"},24-11-2019 07:50
Os Três Duques,5.1,{"FOX MOVIES"\,"FOX MOVIES HD"},25-11-2019 19:32 26-11-2019 15:46 30-11-2019 09:03
Porky's II,5.1,{AMC\,"AMC HD"},24-11-2019 15:48 27-11-2019 18:59 29-11-2019 17:10
Ressalto,5.1,{"HOLLYWOOD "\,"HOLLYWOOD HD"},25-11-2019 13:05 27-11-2019 06:20
Verdade ou Consequência,5.1,{"RTP AÇORES"},28-11-2019 22:20 29-11-2019 06:15
Cody Banks - Agente de Palmo e Meio,5,{"AXN WHITE"\,"AXN WHITE HD"},24-11-2019 23:36 28-11-2019 14:15 30-11-2019 15:23
Garfield 2,5,{"HOLLYWOOD "\,"HOLLYWOOD HD"},24-11-2019 12:15
Miss Março,5,{"HOLLYWOOD "\,"HOLLYWOOD HD"},30-11-2019 03:45
Pequeno Grande Dave,5,{CINEMUNDO\,"CINEMUNDO HD"},26-11-2019 17:55 30-11-2019 09:15
Scary Movie 4 - Que Susto de Filme!,5,{"HOLLYWOOD "\,"HOLLYWOOD HD"},29-11-2019 18:00
Silent Hill - Revelação,5,{SYFY\,"SYFY HD"},30-11-2019 16:57
Uma Aventura,5,{SIC},24-11-2019 07:35 30-11-2019 07:45
A Hora Mais Negra,4.9,{AXN\,"AXN HD"},24-11-2019 16:33 29-11-2019 01:12
Giselle,4.9,{"Stingray Classica"},24-11-2019 14:05
O Cavaleiro Negro,4.9,{CINEMUNDO\,"CINEMUNDO HD"},25-11-2019 17:30
Os 102 Dálmatas,4.9,{"HOLLYWOOD "\,"HOLLYWOOD HD"},29-11-2019 11:25
A Vingança de Porky's,4.8,{AMC\,"AMC HD"},24-11-2019 17:25 27-11-2019 20:38 29-11-2019 18:47
Força Delta 2 - Operação Estrangulamento,4.8,{"FOX MOVIES"\,"FOX MOVIES HD"},26-11-2019 23:09 29-11-2019 01:34
Legalmente Loira 2,4.8,{"AXN WHITE"\,"AXN WHITE HD"},24-11-2019 18:52
Metropolis,4.8,{ARTE},24-11-2019 10:05 27-11-2019 02:05
Titã,4.8,{"TVC 1"},24-11-2019 15:20 25-11-2019 10:45
Deuce Bigalow: Um Gigolo na Europa,4.7,{"AXN BLACK"\,"AXN BLACK HD"},27-11-2019 19:53 29-11-2019 10:57
Zoolander 2,4.7,{"AXN BLACK"\,"AXN BLACK HD"},25-11-2019 23:14 27-11-2019 15:04
A Missão,4.6,{CINEMUNDO\,"CINEMUNDO HD"},29-11-2019 22:55
Conspiração,4.6,{EUROCHANNEL\,"EUROCHANNEL HD"},25-11-2019 05:00 27-11-2019 13:05 28-11-2019 09:20 29-11-2019 19:45
Duplo Confronto,4.6,{CINEMUNDO\,"CINEMUNDO HD"},25-11-2019 06:55
Psico,4.6,{"TVC 2"},28-11-2019 22:00 29-11-2019 07:55
A Enfermeira,4.5,{"FOX MOVIES"\,"FOX MOVIES HD"},27-11-2019 03:59
Guardiãs do Túmulo,4.5,{CINEMUNDO\,"CINEMUNDO HD"},30-11-2019 17:45
Karate Kid - A Nova Aventura,4.4,{"AXN BLACK"\,"AXN BLACK HD"},25-11-2019 15:52
O Agente Disfarçado: Tal Pai\, Tal Filho,4.4,{"AXN BLACK"\,"AXN BLACK HD"},25-11-2019 19:27 27-11-2019 11:23
O Segurança do Shopping: Las Vegas,4.4,{"AXN BLACK"\,"AXN BLACK HD"},26-11-2019 02:35
Senhor do Crime,4.4,{"HOLLYWOOD "\,"HOLLYWOOD HD"},27-11-2019 23:15
Ultravioleta,4.4,{SYFY\,"SYFY HD"},24-11-2019 18:38
Presa Fácil,4.3,{"FOX MOVIES"\,"FOX MOVIES HD"},24-11-2019 11:14
Extraction - Ameaça Global,4,{CINEMUNDO\,"CINEMUNDO HD"},23-11-2019 21:00 30-11-2019 05:40
Emboscada,3.9,{"FOX MOVIES"\,"FOX MOVIES HD"},25-11-2019 11:10 28-11-2019 16:23
Imagens Proibidas,3.8,{"TVC 3"\,"TVC 3 HD"},25-11-2019 22:30 26-11-2019 09:00
Encontro Silencioso,3.5,{"TVC 2"},26-11-2019 01:50 26-11-2019 11:15
Scary Movie 5 - Um Mítico Susto de Filme,3.5,{"HOLLYWOOD "\,"HOLLYWOOD HD"},25-11-2019 20:05
A Troca,3.4,{"TVC 3"\,"TVC 3 HD"},25-11-2019 13:30 26-11-2019 06:35
O Estrangeiro,3.4,{CINEMUNDO\,"CINEMUNDO HD"},24-11-2019 00:15
Jack e Jill,3.3,{"AXN BLACK"\,"AXN BLACK HD"},28-11-2019 22:50 30-11-2019 14:16
24 Horas,3,{"RTP 3"},26-11-2019 05:00
24 Horas,3,{"RTP 3"\,"RTP ÁFRICA"},24-11-2019 00:00 25-11-2019 00:00 26-11-2019 00:00 27-11-2019 00:00 28-11-2019 00:00 29-11-2019 00:00 30-11-2019 00:00
Sedução,3,{EUROCHANNEL\,"EUROCHANNEL HD"},25-11-2019 08:10 27-11-2019 22:15 28-11-2019 12:20 30-11-2019 05:00
O Pacto,2.7,{SYFY\,"SYFY HD"},26-11-2019 15:47
