Desafio Total,7.5,{"FOX MOVIES"\,"FOX MOVIES HD"},25-11-2019 03:49
Milk,7.5,{"HOLLYWOOD "\,"HOLLYWOOD HD"},26-11-2019 15:00
Os Fantasmas Divertem-se,7.5,{"TVC 3"\,"TVC 3 HD"},27-11-2019 00:15 27-11-2019 10:50
Páginas de Liberdade,7.5,{"HOLLYWOOD "\,"HOLLYWOOD HD"},24-11-2019 05:50
Parque Mayer,7.5,{"TVC 1"},26-11-2019 21:30 27-11-2019 13:00
Sideways,7.5,{"AXN WHITE"\,"AXN WHITE HD"},26-11-2019 22:11 28-11-2019 15:55 30-11-2019 13:17
The Conjuring - A Evocação,7.5,{CINEMUNDO\,"CINEMUNDO HD"},24-11-2019 22:30 26-11-2019 03:55
A Hora Mais Negra,7.4,{AXN\,"AXN HD"},24-11-2019 16:33 29-11-2019 01:12
Alice,7.4,{"RTP 2"},24-11-2019 00:20
A Missão,7.4,{CINEMUNDO\,"CINEMUNDO HD"},29-11-2019 22:55
A Testemunha,7.4,{AMC\,"AMC HD"},23-11-2019 18:21
O Estrangeiro,7.4,{CINEMUNDO\,"CINEMUNDO HD"},24-11-2019 00:15
Só Eu Posso Imaginar,7.4,{"TVC 3"\,"TVC 3 HD"},24-11-2019 16:00 25-11-2019 07:35
Tiro de Escape,7.4,{"TVC 2"},25-11-2019 13:55 26-11-2019 05:20
13 Horas: Os Soldados Secretos de Benghazi,7.3,{"AXN BLACK"\,"AXN BLACK HD"},23-11-2019 21:14 25-11-2019 10:50 28-11-2019 03:58
A Armadilha,7.3,{CINEMUNDO\,"CINEMUNDO HD"},24-11-2019 18:00
A Primeira Vitória,7.3,{"HOLLYWOOD "\,"HOLLYWOOD HD"},28-11-2019 02:25
Capote,7.3,{"AXN BLACK"\,"AXN BLACK HD"},29-11-2019 23:18
Carneiros,7.3,{"RTP 1"},27-11-2019 01:09
Christopher Robin,7.3,{"TVC 1"},30-11-2019 14:05
Dogman,7.3,{"TVC 1"},26-11-2019 04:50
Dogman,7.3,{"TVC 2"},26-11-2019 16:35
Invictus,7.3,{AXN\,"AXN HD"},26-11-2019 01:33
Larry Flynt,7.3,{CMTV},29-11-2019 02:30
Lars e o Verdadeiro Amor,7.3,{CINEMUNDO\,"CINEMUNDO HD"},29-11-2019 09:55
O Agente da U.N.C.L.E.,7.3,{"HOLLYWOOD "\,"HOLLYWOOD HD"},29-11-2019 23:25
O Chef,7.3,{"AXN WHITE"\,"AXN WHITE HD"},27-11-2019 22:11 29-11-2019 15:55
O Estrangeiro,7.3,{CINEMUNDO\,"CINEMUNDO HD"},24-11-2019 00:15
O Fenómeno,7.3,{"TVC 3"\,"TVC 3 HD"},25-11-2019 02:10 25-11-2019 15:55
O Santo,7.3,{"TVC 4"\,"TVC 4 HD"},24-11-2019 05:30
